ticks,name,wkn,priceEUR,priceUSD
16120027844623956,Activision Blizzard Aktie,A0Q4K4,75.01,91
16120027848032276,Alibaba Aktie,A117ME,210.5,253.95
16120027851263263,BVB (Borussia Dortmund) Aktie,549309,5.13,0
16120027855342712,CD Projekt RED Aktie,534356,68.3,0
16120027858798110,Facebook Aktie,A1JWVX,214.2,258.33
16120027861605643,NVIDIA Aktie,918422,427,519.59
16120027865226835,PayPal Aktie,A14R7U,192.02,234.31
16120027866359357,SAP Aktie,716460,104.78,0
16120027869528501,Sixt Aktie,723132,96.1,0
16120027875234385,Stryker Aktie,864952,187.84,220.97
16120028035008683,Tencent Aktie,A1138D,73.15,0
16120028036064021,Xiaomi Aktie,A2JNY1,3.12,0
